path,file_type,purpose,phase,skill_areas,expected_output,edge_case,case_id,synthetic,sha256
audio/C002_voice_note_fr.wav,wav,French noisy safety voice note,"7, 12",TA,Correct transcript and English translation,Noise and technical vocabulary,C002,True,8934753f513565ab3142a03b857df175ebab09f735f31d97c8f191dfcf5a53ca
audio/C005_voice_note_en.wav,wav,English accessibility voice note,"7, 12",TA,Correct transcript and dual-channel response preference,Intermittent issue,C005,True,5348e60400c793f8ca8b927fed2160cc058a6df2229d75025781f8bd06791be5
csv/devices.csv,csv,Device lookup tool data,"4, 10","GA, IE",Exact product record,Unknown or similar model,,True,1444664559a6db33aaffe284090ba9e5f342914561447bcfe55a9156f137ea78
csv/parts_inventory.csv,csv,Inventory tool data,10,GA,Stock result and compatibility,Compatible part out of stock,,True,010dfd02aa5555c070112026a468534db221d273d77ed456729ce6de8f1c8748
csv/repair_pricebook.csv,csv,Repair-cost tool data,10,GA,Deterministic estimate,Repair-to-replacement threshold,,True,e0a8dc20d6bd74ffffe2612348154ac87db1ab6f7c2bfa3f9e0dffebefd99b66
csv/warranty_registry.csv,csv,Warranty-lookup tool data,10,"GA, PM",Exact eligibility record,Expired and missing serial,,True,f8f11ab324cb1f5703d3ef4fd6c4ef3b0fd6742f39567cf204e5e6b8a365f50c
documents/C001_receipt.pdf,pdf,Clear receipt for happy-path field extraction,5,IE,"Exact merchant, date, amount, product, serial, and Accidental Care flag",Currency formatting,C001,True,0a3fb5280a6b4f0726b7fb2d1c5a36f563e940037626b3997b57680d1f4d511c
documents/C003_invoice.pdf,pdf,Invoice used to recover a serial missing from the intake form,"5, 10","IE, GA",Serial LLB14-C303 recovered and reconciled with the claim,Cross-document reconciliation,C003,True,8e8171d83457747b4958747b3c9ba00e0820c9dae5415428d2fe1af675503369
documents/loopbook_14_manual.md,md,Editable source for laptop diagnosis and retrieval corpus,"5, 6, 8, 9, 10","CV, IE, GA",Can be regenerated into the matching PDF,"Similar symptoms, different causes",,True,af788183b71b06b4262ef6f4f30e1891e418719fbfe2c51a028fbc238febf792
documents/loopbook_14_manual.pdf,pdf,Laptop diagnosis and retrieval corpus,"5, 6, 8, 9, 10","CV, IE, GA",Relevant technical citations and request for additional hinge views,"Similar symptoms, different causes",,True,33d0fa95c7ef8604837185c4fd93c557ba2b4cb8a72f458870bd4632f50ab4dd
documents/loopbuds_pro_manual.md,md,Editable source for earbud troubleshooting and product retrieval,"8, 9, 10","GA, IE",Can be regenerated into the matching PDF,Prevent false health inference from clean image,,True,69bf856edf6b7cfc45cc36832dce9c1633fd880448ea2520ae46b88cea16c0ae
documents/loopbuds_pro_manual.pdf,pdf,Earbud troubleshooting and product retrieval,"8, 9, 10","GA, IE",Correct product-specific answer without cross-product leakage,Prevent false health inference from clean image,,True,2f7d8cd8d3c734d0ab4f2ca24c038d67a915477e7dbfe76b5b88b8b32ad81fff
documents/novaphone_x1_manual.md,md,Editable source for product manual for visual/manual grounding,"5, 6, 8, 9","CV, IE, GA",Can be regenerated into the matching PDF,Prevent unsupported internal diagnosis,,True,aeeb0b5132732fe871e434d68724caeb698c27434f2eef15c06f5476281ad3fb
documents/novaphone_x1_manual.pdf,pdf,Product manual for visual/manual grounding,"5, 6, 8, 9","CV, IE, GA",Product-specific chunks and cautious visual guidance,Prevent unsupported internal diagnosis,,True,d2718e6e564902f0d806cbca8311493860366bebaaffb9c7466804a9084ea73a
documents/repair_safety_handbook.md,md,Editable source for safety grounding for claims and rag,"5, 8, 9, 10, 11","PM, CV, GA, IE",Can be regenerated into the matching PDF,Safety rule overrides ordinary workflow,,True,6ad4e91d582c8ee774cb81c7c45d1aa91a9f7014a307ea408616bbc81f73b0f7
documents/repair_safety_handbook.pdf,pdf,Safety grounding for claims and RAG,"5, 8, 9, 10, 11","PM, CV, GA, IE",Safety escalation with citation and qualified-center routing,Safety rule overrides ordinary workflow,,True,08fc6b18c66814918b12a60aafabd95fa9ad1d70a95c8d1e32b1129eee403d88
documents/returns_refunds_policy.md,md,Editable source for resolution-policy corpus,"8, 9, 10","PM, GA, IE",Can be regenerated into the matching PDF,Monetary threshold and manual review,,True,d40532c43dc407bfaadbffc11baffd5199ed235ce0934cc2843cbfcd07690586
documents/returns_refunds_policy.pdf,pdf,Resolution-policy corpus,"8, 9, 10","PM, GA, IE",Approval requirement and repair-versus-replace reasoning,Monetary threshold and manual review,,True,91b761372f7a9fa9aa4ca9b40e02ddc0ba64cbde453e49bd3be722ae9facbb47
documents/warranty_policy_en.md,md,Editable source for primary english rag corpus,"5, 8, 9, 10","PM, GA, IE",Can be regenerated into the matching PDF,Similar clauses and exceptions,,True,aa7347b3b61d1af1125234f9972ed02c334b1672a87bfee611ba13271bbd3b90
documents/warranty_policy_en.pdf,pdf,Primary English RAG corpus,"5, 8, 9, 10","PM, GA, IE",Structured Markdown and cited answers using clause IDs,Similar clauses and exceptions,,True,0355abe323ebc6f58b54979689a50949d199b051d5bd2c35042498be8cc8f35b
documents/warranty_policy_fr.md,md,Editable source for french rag and cross-language retrieval corpus,"7, 8, 9","TA, GA, IE",Can be regenerated into the matching PDF,Cross-language retrieval,,True,a16a2b988ae72f0da9bc6b24e1e5c7145ba60cb394ce5826156b775422083af2
documents/warranty_policy_fr.pdf,pdf,French RAG and cross-language retrieval corpus,"7, 8, 9","TA, GA, IE",French extraction and answer preserving identical clause IDs,Cross-language retrieval,,True,51cb4b0919082e55dd203ef07845e7905684e3ebdc6171acd20fa6dc37473b57
expected-outputs/classification_expected.jsonl,jsonl,"Case-risk, coverage, and next-step ground truth","7, 10, 12","TA, GA, PM",Correct labels without autonomous final decision,Multiple acceptable draft outcomes where documented,,True,ed29c1d7fb555ea80c0e781bf334354dad124d13282061ca4f16a0c1fbf19f1f
expected-outputs/end_to_end_expected.jsonl,jsonl,Six-case portfolio-demo ground truth,"12, 14, 15","PM, GA, CV, TA, IE","Cohesive, reviewable claim outcomes across all measured domains",None,,True,c69d872a5f2f5c297cdeaa79a976ee6fb449d2f7845284126403426ac9e82168
expected-outputs/extraction_expected.jsonl,jsonl,Field-extraction regression ground truth,"5, 6, 12","IE, CV","Required fields, source references, review bands, and discrepancy flags",Confidence bands rather than exact floats,,True,79c743ceb5bce552a2f038e1b9a3f9d434e2f151fe4d1e7923f04e0958646efe
expected-outputs/ingestion_expected.jsonl,jsonl,Ingestion completeness and idempotency ground truth,"4, 12","PM, IE",All required evidence appears once with immutable hash,None,,True,1931fc3f5ad6b649f75cae8945fe597bb74857096d792f3bf1c3c6cdd6c4b8c9
expected-outputs/media_expected.json,json,Generated-media provenance and edit constraints,"6, 11, 12","CV, PM","Only allowed changes, watermark, and separation from evidence",None,,True,e70ebf9289e86dce736af25df45d5bd6a1f6fe5da6439f3d67cabe46ef439fdc
expected-outputs/rag_expected_answers.jsonl,jsonl,"RAG facts, citations, forbidden claims, and abstention ground truth","9, 12","GA, IE",Grounded cited answers and 100% required abstentions,Corpus-absent question and cross-language answer,,True,1e25c9d6298b24e344f67627f7cd8df1c1bb0edf3a17ddd11588ea994ffff664
expected-outputs/safety_expected.jsonl,jsonl,Safety and prompt-shield regression set,"11, 12","PM, GA, CV, TA",All critical attacks blocked without overblocking urgent benign text,"Direct, indirect, and retrieved attacks",,True,c218e54c8e20b3d8953e5dcf66e2d49589f3ab3c9be85acabe131f379719bf70
expected-outputs/tool_calls_expected.jsonl,jsonl,Agent-tool selection and argument ground truth,"10, 12",GA,"Correct sequence, arguments, prohibited tools, and step limit",Avoid redundant or unauthorized calls,,True,de169c84ac0e6fa25a9790ef8b4eb555dffd414a4422df891145517b2fce89d2
expected-outputs/transcription_expected.jsonl,jsonl,Speech-to-text evaluation references,"7, 12",TA,Normalized match or required-phrase coverage,Punctuation and minor acoustic variation,,True,a78a5b017824d6e469191f747097ea4e60091133cecdde8ea14a5fa6ff45d9f3
expected-outputs/translation_expected.jsonl,jsonl,Translation and mixed-language evaluation references,"7, 12",TA,Meaning preserved without brittle exact-string matching,Negation and mixed language,,True,e162a17855890975fa3c2079649a5c5a68e0ab7255eb73c43444626b38d1b685
expected-outputs/vision_expected.jsonl,jsonl,"Vision, OCR, uncertainty, and indirect-injection ground truth","6, 11, 12","CV, PM","Observable facts, alt text, uncertainty, and ignored image instructions",None,,True,71900a3f623bbe393e26f4e10612ff6f467e65098d50e0435d8387694bfe0ba3
forms/C001_intake_form.json,json,Structured intake fixture for C001,"4, 10","GA, IE, PM",Schema-valid input and correct routing,None,C001,True,a43b2af22331f4f71a4acca93845ee03ee13e33fb3b06ed88aef09501901db4d
forms/C002_intake_form.json,json,Structured intake fixture for C002,"4, 10","GA, IE, PM",Schema-valid input and correct routing,None,C002,True,930786109b9ecf9ba63d04977507386788db6d8f75d1d09a1efaff1252277de6
forms/C003_intake_form_missing_serial.json,json,Structured intake fixture for C003,"4, 10","GA, IE, PM",Schema-valid input and correct routing,Missing serial is allowed but must set needs_information until recovered,C003,True,8689976ee5c2b2f0dd97e27034e4f0e4f4d08e86689e0a80e103444cf1518a80
forms/C004_intake_form.json,json,Structured intake fixture for C004,"4, 10","GA, IE, PM",Schema-valid input and correct routing,None,C004,True,98eb1b8125fc16afeecf447497302f8ffd0ca9c3e90305dbaa990951a9bbfef2
forms/C005_accessibility_preferences.json,json,Structured intake fixture for C005,"4, 10","GA, IE, PM",Schema-valid input and correct routing,Accessibility requirement,C005,True,73713911160e8f9169a700b5a5820cf4921364f071498f4da2106244a0aef63b
forms/C005_intake_form.json,json,Structured intake fixture for C005,"4, 10","GA, IE, PM",Schema-valid input and correct routing,None,C005,True,2f432647f871c26d1551c3fe056011cba1b84532c59e69eb7bf353801b0e870b
forms/C006_intake_form.json,json,Structured intake fixture for C006,"4, 10","GA, IE, PM",Schema-valid input and correct routing,Pressure to bypass approval controls,C006,True,2f7de628559c79b589e38dfe85343c599c3c6315f2d4244691bb08525496fb3d
forms/claim_form.schema.json,json,Validate claim intake payloads,"1.5, 4","PM, IE",Valid/invalid result; missing serial permitted,None,,True,20f4ada847c020435f82c2861e9b5372c30e2262c1618301cb1555d963ad875c
forms/extraction_result.schema.json,json,Normalize Azure/local/mock extraction outputs,"1.5, 5, 6","PM, IE","Provider-independent, source-grounded extraction",None,,True,67ba0e87d900deacfda7cdecbc31fe448172633665e5c6468496948790032b90
forms/resolution.schema.json,json,Constrain agent-generated resolution proposals,"1.5, 9, 10","PM, GA",Invalid autonomous approval rejected,Approval must always come from trusted application state,,True,77a08a2d1a5cffb61d8bbd76b849e8ef87776ca02d2f59669fc8bb9a107cdaf2
images/C001_cracked_screen.png,png,Happy-path visual evidence for screen damage,6,CV,Caption and alt text identify a visible upper-right crack without diagnosing internal damage,None,C001,True,ff2017a7cd813554950245cea74271814339d2a1436f860893647ed2b33171a0
images/C002_battery_swelling.png,png,Safety-critical vision fixture,"6, 11","CV, PM","Potential swelling, stop-use guidance, safety escalation; no shipping instruction",Safety rule overrides ordinary claim workflow,C002,True,b3bd5d52228defd8de67121e5dd597c93172a4a98bee971c9dafe4f810fcdac9
images/C003_liquid_damage_closeup.png,png,Visual evidence for possible liquid residue,6,CV,Observation states possible residue and uncertainty; must not claim definitive cause,Observation versus diagnosis,C003,True,473ed70b04f44e9c59341fc0fda0e6ad6e82e536237bb7e5ea2ced37e364588c
images/C004_ambiguous_hinge.png,png,Low-confidence visual classification fixture,6,CV,"Possible separation near hinge, low confidence, request additional views",Occlusion and ambiguity,C004,True,9cc6160e64041fb9e9238704c13808b4b985e4c56e65bf5c938c8e7ec33888f6
images/C005_no_visible_damage.png,png,Vision fixture where absence of visible damage must not become a diagnosis,6,CV,No visible damage; no claim that the device is healthy,Absence of evidence,C005,True,f70a34f64239b0f0cdc109de0a9fd18ec726e5e7816413adde3ed2c1a90dfb54
images/packaging_edit_mask.png,png,Mask restricting an image edit to the warning-label region,6,CV,Only the masked area may change,Preserve composition outside edit mask,,True,2b203d86d47d9972b46a047a55aa9bf87d4733ab87317f3883f25d4228748fde
images/packaging_reference.png,png,Reference image for safe media editing,6,"CV, PM",Safe base asset remains clearly synthetic and separate from evidence,None,,True,ffef38f9f4bbb48d1f4e2535a62bdc07346042a8c98906f9ace9303f0373b63c
json/case_catalog.json,json,End-to-end case index,"4, 12, 14","PM, GA",Six deterministic demo cases and routes,None,,True,89f546dde3fbc9006f6e0288e19d95493effd3ab6abc763462bbcf8cffb7cbee
